depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-66.9	-67.3	-67.2
2	-66.3	-65.4	-66	-66
3	-64.5	-63.5	-64.2	-64.2
4	-62.8	-61.7	-62.4	-62.4
5	-60.8	-59.5	-60.3	-60.2
6	-58.8	-57.3	-58.1	-58.1
7	-56.5	-54.8	-55.7	-55.7
8	-54.2	-52.3	-53.3	-53.2
9	-51.8	-49.8	-50.8	-50.8
10	-49.5	-47.2	-48.3	-48.3
11	-47.4	-44.8	-46.1	-46.1
12	-45.3	-42.4	-43.8	-43.8
13	-43.1	-40	-41.5	-41.5
14	-41	-37.4	-39.1	-39.1
15	-38.7	-34.8	-36.6	-36.7
16	-36.5	-32.2	-34.2	-34.2
17	-34	-29.2	-31.4	-31.5
18	-31.5	-26.3	-28.7	-28.7
19	-28.7	-22.9	-25.5	-25.6
20	-26	-19.3	-22.4	-22.4
21	-17	-7.6	-11.8	-11.9
22	-8.1	4.3	-1.3	-1.4
23	4.3	26	19.7	18
24	16.5	49.1	40.1	37.4
25	20.6	67.2	53.7	49.7
26	24.6	85.9	67.1	62.1
27	26.5	105.4	75.9	71.3
28	28.3	125.7	84.6	80.5
29	31.5	144.7	94.3	90.2
