depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.4	-68.8	-69.1	-69.1
2	-68.4	-64.3	-67.4	-67.2
3	-66.7	-61.6	-65.1	-64.9
4	-64.3	-53.5	-61.9	-61.2
5	-61.8	-46.6	-57.8	-56.9
6	-57.9	-40.1	-52.8	-51.8
7	-53.1	-34.3	-47.4	-46.5
8	-48.8	-28.4	-41.7	-40.8
9	-43.4	-18.2	-34.4	-33.4
10	-36.8	-11.8	-27.6	-26.7
11	-31.2	-3.5	-19.9	-19.3
12	-23.4	12.1	-8.8	-7.8
13	-14.8	20.4	0.3	1
14	-6.7	28.6	9.4	9.8
15	0.8	39.6	19.7	20
16	9.1	72.3	36.3	37.4
17	20	88.7	49.7	50.9
18	29.5	102.4	61.7	63
19	38.9	117.4	73.5	74.7
20	48.8	132.4	84.9	86.4
21	58	147	96.1	97.9
22	67.3	159.5	106.9	109.2
23	74.8	173.6	117.9	119.8
24	79.3	186.1	126.8	128.2
25	85.4	198.5	136.4	137.7
26	91.8	210.3	145.7	147.4
